values, uncompressed_time, uncompressed_depth, uncompressed_pair, compressed_time, compressed_depth, compressed_pairs
64,0.10960829999999999,1.675,155.7,0.0682305,1.0109375,163.4
128,0.0676915,1.8953125,354.0,0.046436500000000006,1.0,383.3
256,0.1705506,1.81015625,835.9,0.148574,1.002734375,791.4
512,0.2585579,1.948828125,1628.8,0.22598250000000003,1.002734375,1816.0
1024,0.3950301,2.0337890625,3855.0,0.42256400000000005,0.99970703125,4206.2
2048,1.2070511,1.994921875,8435.3,0.7966705000000001,1.0001953125,8514.6
4096,1.6306844000000003,2.0529541015625,18049.0,1.3725358,1.0006103515625,17844.0
8192,2.5446307999999997,2.111328125,41973.2,2.3594168,1.00013427734375,39180.2
16384,5.9773608000000005,2.094171142578125,86304.4,5.5206836,1.00018310546875,80200.8
32768,13.5207561,2.1110260009765627,175832.1,12.1300673,1.0000579833984375,182112.6
65536,29.166927299999998,2.1305770874023438,366485.8,24.7334327,1.0000228881835938,375193.1
131072,67.895375,2.1322257995605467,834954.5,51.584286299999995,1.0000152587890625,760452.3
262144,163.4613016,2.1380970001220705,1663548.2,115.8937905,1.0000030517578125,1750587.4
524288,407.8476937,2.1518085479736326,3520599.6,304.3956495,1.0000034332275392,3608225.1
1048576,1204.944852,2.147007369995117,7532171.8,719.6220611,1.0000041007995606,7359463.3
